gene,case_idx,original_count,augmented_count,num_nodes,num_edges,avg_degree
ABCD1,26,3,16,16,30,1.875
ABCD1,27,5,20,20,40,2.0
ABCD1,28,5,20,20,40,2.0
ABCD1,29,5,20,20,40,2.0
ABCD3,0,14,65,65,142,2.1846153846153844
ABCD4,0,8,49,49,100,2.0408163265306123
ABCD4,1,8,52,52,106,2.0384615384615383
ABCD4,2,5,36,36,74,2.0555555555555554
ABCD4,3,8,50,50,104,2.08
ABCD4,4,6,50,50,104,2.08
ABCD4,5,4,35,35,74,2.1142857142857143
ABCD4,6,2,23,23,48,2.0869565217391304
ABCG5,0,2,8,8,14,1.75
ABCG5,1,14,84,84,196,2.3333333333333335
ABCG5,2,13,48,48,104,2.1666666666666665
ABCG5,3,8,44,44,96,2.1818181818181817
ABCG5,4,2,14,14,26,1.8571428571428572
ABCG5,5,6,32,32,66,2.0625
ABCG5,6,12,53,53,114,2.150943396226415
ABCG5,7,3,17,17,34,2.0
ABCG8,0,1,8,8,14,1.75
ABCG8,1,2,13,13,26,2.0
ABCG8,2,6,33,33,70,2.121212121212121
ABCG8,3,2,13,13,24,1.8461538461538463
ABCG8,4,6,33,33,70,2.121212121212121
ABCG8,5,3,21,21,50,2.380952380952381
ABCG8,6,2,12,12,24,2.0
ABCG8,7,6,33,33,70,2.121212121212121
ABCG8,8,6,33,33,70,2.121212121212121
ABCG8,9,4,38,38,84,2.210526315789474
ABCG8,10,1,5,5,8,1.6
ABHD12,0,5,23,23,48,2.0869565217391304
ABHD12,1,10,47,47,100,2.127659574468085
ABHD12,2,7,30,30,68,2.2666666666666666
ABHD12,3,14,68,68,148,2.176470588235294
ABHD12,4,7,35,35,72,2.057142857142857
ABHD12,5,4,21,21,44,2.0952380952380953
ACAD8,0,1,12,12,24,2.0
ACAD8,1,1,12,12,24,2.0
ACAD8,2,4,16,16,30,1.875
ACAD8,3,5,35,35,76,2.1714285714285713
ACAD8,4,2,11,11,20,1.8181818181818181
ACAD8,5,1,12,12,24,2.0
ACAD8,6,1,12,12,24,2.0
ACAD8,7,2,13,13,24,1.8461538461538463
ACAD8,8,1,12,12,24,2.0
ACAD8,9,4,26,26,56,2.1538461538461537
ACAD8,10,1,12,12,24,2.0
ACAD8,11,3,22,22,46,2.090909090909091
ACAD8,12,1,12,12,24,2.0
ACAD8,13,4,24,24,48,2.0
ACAD9,0,1,7,7,12,1.7142857142857142
ACAD9,1,1,7,7,12,1.7142857142857142
ACAD9,2,2,11,11,20,1.8181818181818181
ACAD9,3,1,7,7,12,1.7142857142857142
ACAD9,4,2,14,14,26,1.8571428571428572
ACAD9,5,1,7,7,12,1.7142857142857142
ACAD9,6,1,7,7,12,1.7142857142857142
ACAD9,7,1,7,7,12,1.7142857142857142
ACAD9,8,3,20,20,38,1.9
ACADS,0,2,14,14,26,1.8571428571428572
ACADS,1,4,37,37,84,2.27027027027027
ACADS,2,4,27,27,56,2.074074074074074
ACADS,3,1,15,15,32,2.1333333333333333
ACADS,4,6,42,42,90,2.142857142857143
ACADS,5,1,15,15,32,2.1333333333333333
ACADS,6,1,15,15,32,2.1333333333333333
ACADS,7,4,32,32,74,2.3125
ACADS,8,1,15,15,32,2.1333333333333333
ACADS,9,3,22,22,46,2.090909090909091
ACADS,10,3,26,26,54,2.076923076923077
ACADS,11,1,15,15,32,2.1333333333333333
ACADSB,0,1,14,14,30,2.142857142857143
ACADSB,1,3,29,29,62,2.1379310344827585
ACADSB,2,2,14,14,28,2.0
ACADSB,3,4,21,21,44,2.0952380952380953
ACADSB,4,4,18,18,34,1.8888888888888888
ACADSB,5,15,82,82,182,2.2195121951219514
ACADSB,6,6,37,37,78,2.108108108108108
ACADVL,0,7,28,28,54,1.9285714285714286
ACADVL,1,7,38,38,78,2.0526315789473686
ACADVL,2,1,6,6,10,1.6666666666666667
ACADVL,3,3,18,18,34,1.8888888888888888
ACADVL,4,2,12,12,22,1.8333333333333333
ACADVL,5,1,8,8,14,1.75
ACADVL,6,1,6,6,10,1.6666666666666667
ACADVL,7,2,10,10,18,1.8
ACADVL,8,1,8,8,14,1.75
ACAT1,0,2,21,21,46,2.1904761904761907
ACAT1,1,1,8,8,16,2.0
ACAT1,2,6,34,34,72,2.1176470588235294
ACAT1,3,8,49,49,104,2.122448979591837
ACAT1,4,2,21,21,46,2.1904761904761907
ACAT1,5,2,21,21,46,2.1904761904761907
ACAT1,6,2,21,21,46,2.1904761904761907
ACAT1,7,2,21,21,46,2.1904761904761907
ACAT1,8,2,21,21,46,2.1904761904761907
ACAT1,9,2,21,21,46,2.1904761904761907
ACD,0,7,32,32,66,2.0625
ACD,1,13,70,70,148,2.1142857142857143
ACD,2,2,8,8,14,1.75
ACD,3,7,47,47,104,2.2127659574468086
ACD,4,3,14,14,28,2.0
ACD,5,6,21,21,40,1.9047619047619047
ACD,6,6,31,31,64,2.064516129032258
ACD,7,9,62,62,142,2.2903225806451615
ACD,8,3,13,13,24,1.8461538461538463
ACD,9,5,33,33,72,2.1818181818181817
ACO2,0,1,9,9,16,1.7777777777777777
ACO2,1,1,9,9,16,1.7777777777777777
ACO2,2,1,9,9,16,1.7777777777777777
ACO2,3,1,9,9,16,1.7777777777777777
ACO2,4,1,9,9,16,1.7777777777777777
ACO2,5,1,9,9,16,1.7777777777777777
ACO2,6,1,9,9,16,1.7777777777777777
ACO2,7,1,9,9,16,1.7777777777777777
ACO2,8,1,9,9,16,1.7777777777777777
ACO2,9,4,18,18,34,1.8888888888888888
ACO2,10,6,32,32,62,1.9375
ACO2,11,6,31,31,60,1.935483870967742
ACO2,12,9,41,41,82,2.0
ACO2,13,5,30,30,58,1.9333333333333333
ACO2,14,3,17,17,32,1.8823529411764706
ACO2,15,7,43,43,90,2.0930232558139537
ACO2,16,6,41,41,86,2.097560975609756
ACOX1,0,11,52,52,112,2.1538461538461537
ACOX1,1,17,102,102,238,2.3333333333333335
ACOX1,2,18,80,80,178,2.225
ACOX1,3,7,39,39,80,2.051282051282051
ACOX1,5,12,67,67,144,2.1492537313432836
ACOX1,6,10,39,39,78,2.0
ACOX1,7,25,110,110,248,2.2545454545454544
ACOX1,8,6,33,33,66,2.0
ACOX1,9,11,53,53,106,2.0
ACOX1,10,23,106,106,244,2.30188679245283
ACOX1,11,11,53,53,106,2.0
ACOX1,12,7,43,43,92,2.13953488372093
ACOX1,13,11,53,53,106,2.0
ACOX1,14,22,94,94,194,2.0638297872340425
ACOX1,15,11,53,53,106,2.0
ACSF3,0,5,22,22,42,1.9090909090909092
ACSF3,1,1,6,6,10,1.6666666666666667
ACSF3,2,3,24,24,52,2.1666666666666665
ACSF3,3,1,15,15,32,2.1333333333333333
ACSF3,4,2,12,12,22,1.8333333333333333
ACSF3,5,5,28,28,58,2.0714285714285716
ACSF3,6,6,37,37,78,2.108108108108108
ACSF3,7,1,15,15,32,2.1333333333333333
ACSF3,8,3,29,29,64,2.206896551724138
ACSF3,9,3,29,29,62,2.1379310344827585
ACSF3,10,1,16,16,34,2.125
ACSF3,11,1,15,15,32,2.1333333333333333
ACSF3,12,7,44,44,92,2.090909090909091
ACSF3,13,3,23,23,48,2.0869565217391304
ACSF3,14,3,22,22,46,2.090909090909091
ACSF3,15,1,7,7,12,1.7142857142857142
ACSF3,16,2,19,19,40,2.1052631578947367
ACSF3,17,5,34,34,72,2.1176470588235294
ACSF3,18,1,15,15,32,2.1333333333333333
ACSF3,19,1,15,15,32,2.1333333333333333
ACSF3,20,4,36,36,80,2.2222222222222223
ACSF3,21,1,15,15,32,2.1333333333333333
ACSF3,22,5,25,25,48,1.92
ACSF3,23,1,15,15,32,2.1333333333333333
ACSF3,24,4,23,23,50,2.1739130434782608
ACSF3,25,6,51,51,114,2.235294117647059
ACSL4,0,6,28,28,60,2.142857142857143
ACSL4,1,2,24,24,52,2.1666666666666665
ACSL4,2,1,8,8,16,2.0
ACSL4,3,1,9,9,16,1.7777777777777777
ACSL4,4,1,7,7,14,2.0
ACSL4,5,1,7,7,14,2.0
ACSL4,6,4,30,30,66,2.2
ACSL4,7,4,20,20,40,2.0
ACTA1,0,10,43,43,92,2.13953488372093
ACTA1,1,10,41,41,92,2.2439024390243905
ACTA1,2,8,35,35,76,2.1714285714285713
ACTA1,3,1,9,9,16,1.7777777777777777
