GENE,PHENOTYPES,RANK,SCORE
ACAD8,"HP:0010967,HP:0001644,HP:0001531,HP:0012537",1,-18.12322425842285
ACAD9,HP:0001638,9,-2.583711624145508
ACAD9,HP:0001399,10,-6.898834228515625
ACAD9,"HP:0002093,HP:0004900",7,-13.180246353149414
ACAD9,HP:0001638,9,-2.583711624145508
ACAD9,"HP:0005157,HP:0003128",2,-11.03686809539795
ACAD9,HP:0001638,9,-2.583711624145508
ACAD9,HP:0001638,9,-2.583711624145508
ACAD9,HP:0001638,9,-2.583711624145508
ACAD9,"HP:0005157,HP:0006829,HP:0003128",2,-18.710651397705078
ACADS,"HP:0001254,HP:0001942",12,-9.835855484008789
ACADS,"HP:0003219,HP:0010628,HP:0008947,HP:0003789",1,-23.284543991088867
ACADS,"HP:0003219,HP:0011968,HP:0008947,HP:0002013",1,-18.66301155090332
ACADS,HP:0003219,1,-10.732590675354004
ACADS,"HP:0000750,HP:0003219,HP:0008872,HP:0001263,HP:0008947,HP:0001254",1,-23.861358642578125
ACADS,HP:0003219,1,-10.732589721679688
ACADS,HP:0003219,1,-10.73259162902832
ACADS,"HP:0000750,HP:0010628,HP:0001263,HP:0008947",1,-15.24010944366455
ACADS,HP:0003219,1,-10.73259162902832
ACADS,"HP:0002028,HP:0003219,HP:0002013",1,-18.8720703125
ACADS,"HP:0003219,HP:0001263,HP:0008947",1,-16.623659133911133
ACADS,HP:0003219,1,-10.73259162902832
ACADSB,HP:0000403,60,-6.711287498474121
ACADSB,"HP:0005964,HP:0410018,HP:0011109",1,-21.668920516967773
ACADSB,"HP:0045045,HP:0002155",2,-12.774466514587402
ACADSB,"HP:0000750,HP:0000817,HP:0008762,HP:0001250",2,-19.846818923950195
ACADSB,"HP:0002104,HP:0001263,HP:0008947,HP:0001250",2,-16.56171417236328
ACADSB,"HP:0002299,HP:0002136,HP:0002194,HP:0000750,HP:0002066,HP:0012168,HP:0006801,HP:0000316,HP:0000369,HP:0000252,HP:0000347,HP:0002370,HP:0000426,HP:0002360,HP:0025401",1,-47.141780853271484
